entity,subj_action,subj_communicative,subj_mental,subj_other,subj_total,pass_total,obj_total,prep_target_total,nom_agent_total,total,action_agency_ratio,communicative_share,patient_ratio,passive_share,subj_action_articles,subj_communicative_articles,subj_mental_articles,subj_other_articles,pass_articles,obj_articles,prep_target_articles,nom_agent_articles
Iran,40,107,18,182,347,8,67,7,18,447,0.13,0.308,0.183,0.107,32,45,15,65,7,41,6,13
US,65,40,11,117,233,5,33,5,8,284,0.257,0.172,0.151,0.132,42,28,11,51,5,27,5,8
Trump,2,165,3,78,248,4,8,1,3,264,0.019,0.665,0.049,0.333,2,60,3,39,4,8,1,2
Israel,41,21,5,43,110,0,10,9,42,171,0.485,0.191,0.111,0.0,28,13,4,20,0,8,6,26
Strait of Hormuz,0,0,0,14,14,7,47,0,0,68,0.0,0.0,0.794,0.13,0,0,0,12,7,31,0,0
Hezbollah,6,4,0,17,27,6,9,0,0,42,0.143,0.148,0.357,0.4,5,3,0,8,4,5,0,0
Vance,3,7,0,20,30,3,5,0,0,38,0.079,0.233,0.211,0.375,3,3,0,2,2,1,0,0
Lebanon,0,3,1,11,15,6,15,0,0,36,0.0,0.2,0.583,0.286,0,3,1,5,5,8,0,0
Centcom,1,31,1,2,35,0,0,0,0,35,0.029,0.886,0.0,,1,14,1,2,0,0,0,0
UK,3,3,1,11,18,4,9,0,1,32,0.125,0.167,0.406,0.308,3,2,1,7,3,6,0,1
Netanyahu,0,16,1,12,29,0,1,0,0,30,0.0,0.552,0.033,0.0,0,11,1,7,0,1,0,0
Pakistan,0,7,0,13,20,0,2,0,1,23,0.043,0.35,0.087,0.0,0,6,0,7,0,2,0,1
China,0,4,2,10,16,1,2,1,0,20,0.0,0.25,0.2,0.333,0,3,2,4,1,2,1,0
Craig Foreman,0,7,0,4,11,6,1,0,0,18,0.0,0.636,0.389,0.857,0,3,0,3,3,1,0,0
JD Vance,1,2,0,13,16,0,1,0,0,17,0.059,0.125,0.059,0.0,1,2,0,12,0,1,0,0
Lindsay Foreman,0,5,1,6,12,3,1,0,0,16,0.0,0.417,0.25,0.75,0,1,1,3,2,1,0,0
IRGC,1,5,0,7,13,0,0,0,0,13,0.077,0.385,0.0,,1,4,0,3,0,0,0,0
Keir,0,7,0,4,11,0,0,0,0,11,0.0,0.636,0.0,,0,3,0,2,0,0,0,0
