entity_a,entity_b,shared_sentences,count_a,count_b,pmi,ppmi,low_count
Iran,US,504,1221,790,0.907,0.907,False
Iran,Trump,190,1221,373,0.582,0.582,False
Iran,Israel,167,1221,324,0.599,0.599,False
Israel,US,153,324,790,1.101,1.101,False
Trump,US,145,373,790,0.82,0.82,False
Iran,Strait of Hormuz,116,1221,202,0.755,0.755,False
Israel,Lebanon,92,324,151,2.754,2.754,False
Iran,Pakistan,82,1221,130,0.89,0.89,False
Strait of Hormuz,US,68,202,790,0.613,0.613,False
Hezbollah,Israel,64,97,324,2.869,2.869,False
Pakistan,US,60,130,790,1.068,1.068,False
Hezbollah,Lebanon,51,97,151,3.643,3.643,False
Iran,Lebanon,47,1221,151,-0.129,0.0,False
Gulf,Iran,32,65,1221,0.533,0.533,False
Israel,Netanyahu,31,324,43,2.997,2.997,False
Hezbollah,Iran,31,97,1221,-0.091,0.0,False
Lebanon,US,29,151,790,-0.197,0.0,False
Strait of Hormuz,Trump,28,202,373,0.415,0.415,False
Iran,UK,28,1221,118,-0.52,0.0,False
Gulf,US,27,65,790,0.916,0.916,False
Israel,Trump,22,324,373,-0.614,0.0,False
Middle East,US,22,59,790,0.76,0.76,False
Israel,Strait of Hormuz,21,324,202,0.203,0.203,False
UK,US,21,118,790,-0.307,0.0,False
Centcom,Iran,21,45,1221,0.456,0.456,False
Pakistan,Trump,21,130,373,0.636,0.636,False
US,Vance,20,790,54,0.75,0.75,False
Trump,Vance,20,373,54,1.833,1.833,False
China,Iran,19,35,1221,0.674,0.674,False
JD Vance,US,18,23,790,1.83,1.83,False
Hezbollah,US,18,97,790,-0.247,0.0,False
Iran,Vance,17,1221,54,-0.112,0.0,False
Iran,Middle East,17,1221,59,-0.24,0.0,False
Centcom,US,17,45,790,0.779,0.779,False
Iran,Netanyahu,15,1221,43,0.036,0.036,False
Iran,JD Vance,14,1221,23,0.839,0.839,False
Iran,Masoud Pezeshkian,13,1221,14,1.448,1.448,False
IRGC,Iran,13,39,1221,-0.03,0.0,False
Gulf,Strait of Hormuz,12,65,202,1.713,1.713,False
Abbas Araghchi,Iran,12,12,1221,1.555,1.555,False
Iran,White House,12,1221,25,0.496,0.496,False
Craig Foreman,Lindsay Foreman,10,20,18,6.639,6.639,False
Marco Rubio,State,10,17,11,7.584,7.584,False
Netanyahu,Trump,10,43,373,1.162,1.162,False
Marco Rubio,US,10,17,790,1.418,1.418,False
France,UK,10,11,118,4.789,4.789,False
Axios,US,10,14,790,1.698,1.698,False
China,US,10,35,790,0.376,0.376,False
Pakistan,Vance,10,130,54,2.354,2.354,False
Iran,Mohammad Bagher Ghalibaf,10,1221,11,1.418,1.418,False
US,White House,9,790,25,0.709,0.709,True
Axios,Iran,9,14,1221,0.918,0.918,True
JD Vance,Pakistan,9,23,130,3.433,3.433,True
Germany,US,9,15,790,1.446,1.446,True
State,US,9,11,790,1.894,1.894,True
Lebanon,Netanyahu,9,151,43,2.314,2.314,True
Pentagon,US,8,18,790,1.013,1.013,True
Israel,Middle East,8,324,59,0.586,0.586,True
North America,Trump,8,8,373,3.266,3.266,True
Lebanon,Pakistan,8,151,130,0.548,0.548,True
Keir,UK,8,13,118,4.226,4.226,True
Nato,Trump,8,18,373,2.096,2.096,True
Nato,US,8,18,790,1.013,1.013,True
Gulf of Oman,Iran,8,12,1221,0.97,0.97,True
Trump,White House,7,373,25,1.429,1.429,True
Iran,Oman,7,1221,20,0.041,0.041,True
Gaza,Iran,7,12,1221,0.778,0.778,True
