entity,label,mentions,articles
Iran,GPE,1475,90
US,GPE,896,85
Trump,PERSON,377,69
Israel,NORP,365,71
Strait of Hormuz,LOC,206,64
Lebanon,NORP,180,28
Pakistan,GPE,144,48
UK,GPE,130,39
Hezbollah,ORG,98,22
Gulf,LOC,66,37
Middle East,LOC,59,34
Centcom,ORG,57,19
Vance,PERSON,56,10
IRGC,ORG,49,18
Netanyahu,PERSON,43,18
China,GPE,38,15
White House,ORG,25,19
JD Vance,PERSON,23,19
Craig Foreman,PERSON,20,3
Oman,GPE,20,14
Nato,ORG,19,8
Lindsay Foreman,PERSON,18,3
Congress,ORG,18,6
Pentagon,ORG,18,7
Marco Rubio,PERSON,17,10
US Navy,ORG,16,11
Germany,GPE,15,4
George Stana,PERSON,15,2
Zeraati,PERSON,14,2
French,NORP,14,8
UAE,GPE,14,9
Hormuz,GPE,14,12
Axios,ORG,14,7
Masoud Pezeshkian,PERSON,14,13
Araghchi,GPE,13,7
Keir,PERSON,13,4
Reuters,ORG,13,12
Russia,GPE,13,9
India,GPE,13,6
Hegseth,PERSON,13,6
Gaza,GPE,12,7
Gulf of Oman,LOC,12,9
Abbas Araghchi,PERSON,12,12
Mojtaba Khamenei,PERSON,12,9
Starlink,ORG,12,1
Russian,NORP,11,3
France,GPE,11,9
Mohammad Bagher Ghalibaf,PERSON,11,11
State,ORG,11,11
Keir Starmer,PERSON,11,11
Fujairah,GPE,11,5
Pete Hegseth,PERSON,11,11
UN,ORG,10,7
Iraq,GPE,10,8
Beijing,GPE,10,6
Minab,GPE,10,3
Mr Explosive,PERSON,10,1
Indian,NORP,10,5
Mohammadi,PERSON,10,2
Merz,PERSON,9,1
Shia,NORP,9,4
Europe,LOC,9,4
Sri Lanka,GPE,9,2
Ayatollah Ali Khamenei,PERSON,9,9
Singapore,GPE,9,1
Evin,PERSON,9,4
Shirin,PERSON,9,1
Republican,NORP,9,5
BBC Verify,ORG,9,6
Vanguard,ORG,8,3
Arab,NORP,8,6
Defence,ORG,8,7
Australia,GPE,8,3
Instagram,ORG,8,8
German,NORP,8,5
Qatar,GPE,8,6
North America,LOC,8,8
Ukraine,GPE,8,7
Hamas,ORG,8,7
Aoun,PERSON,7,1
Democratic,NORP,7,3
Azizi,PERSON,7,1
Democrats,NORP,7,4
Nord,ORG,7,1
Indian Ocean,LOC,7,6
House,ORG,7,2
Facebook,ORG,7,7
Steve Witkoff,PERSON,7,7
Chinese,NORP,7,5
Jared Kushner,PERSON,7,7
Navy,ORG,7,5
Persian,NORP,7,4
Esmail Baghaei,PERSON,7,7
Republicans,NORP,7,5
European,NORP,7,6
Anthony Zurcher,PERSON,7,7
Saudi Arabia,GPE,7,6
Atkinson,PERSON,6,2
Yemen,GPE,6,6
Project Freedom,ORG,6,4
International Monetary Fund,ORG,6,6
Ghalibaf,PERSON,6,5
CBS,ORG,6,4
Asia,LOC,6,5
New York Times,ORG,6,5
Sahand,PERSON,6,1
Cooper,ORG,6,2
Middle Eastern,LOC,6,5
United Arab Emirates,ORG,6,6
Lego,ORG,6,1
Brent,PERSON,6,5
Khamenei,PERSON,6,4
Epaminondas,PERSON,6,3
Greek,NORP,6,3
Shehbaz Sharif,PERSON,5,5
WhatsApp,ORG,5,5
Senate,ORG,5,3
IDF,ORG,5,4
Asian,NORP,5,4
Leavitt,PERSON,5,2
Touska,ORG,5,3
Firozabad,GPE,5,1
Kuwait,GPE,5,3
Operation Epic Fury,ORG,5,5
Hamidreza Mohammadi,PERSON,5,2
Lyse Doucet,PERSON,5,5
Bahrain,GPE,5,3
Democrat,NORP,5,4
Adnoc,ORG,5,4
Badea,ORG,5,2
Xi Jinping,PERSON,5,5
Westminster,GPE,5,4
Obama,PERSON,5,5
Ministry of Defence,ORG,5,4
MarineTraffic,ORG,5,3
Persian Gulf,LOC,5,5
Italy,GPE,4,2
Narges Mohammadi,PERSON,4,2
Wang,ORG,4,1
CNN,ORG,4,4
Persian Service,ORG,4,4
OFAC,ORG,4,1
Maersk,ORG,4,2
World Bank,ORG,4,2
Andrei,PERSON,4,2
Wall Street Journal,ORG,4,3
Red Sea,LOC,4,3
Baghaei,ORG,4,2
LNG,ORG,4,4
Mordashov,PERSON,4,1
Jones,PERSON,4,1
navy,ORG,4,4
Sana,PERSON,4,1
Gloucestershire,GPE,4,1
Emmanuel Macron,PERSON,4,4
Karoline Leavitt,PERSON,4,4
Supreme,ORG,4,4
Higgins,PERSON,4,1
Witkoff,ORG,4,3
Abraham Accords,ORG,4,2
Islamic,NORP,4,4
Amnesty International,ORG,4,2
Washington DC,GPE,4,3
Healey,ORG,4,1
Romanian,NORP,4,3
Kushner,PERSON,4,3
Woolwich Crown Court,ORG,4,2
Rachel Reeves,PERSON,4,3
Romania,GPE,4,2
South Korea,GPE,4,3
Fox News,ORG,4,4
Vietnam,GPE,4,3
Foreign Office,ORG,3,2
War Powers Resolution,ORG,3,2
Richard Nixon,PERSON,3,3
Joe Bennett,PERSON,3,3
Putin,PERSON,3,1
Friedrich Merz,PERSON,3,3
Diako,PERSON,3,1
Afghanistan,GPE,3,2
RAF Fairford,ORG,3,1
BST,ORG,3,3
Tasnim,PERSON,3,3
East Sussex,GPE,3,3
Dan Caine,PERSON,3,3
Parliament,ORG,3,3
Scott Bessent,PERSON,3,3
CBS News,ORG,3,3
Joint Maritime Information Centre,ORG,3,2
US Treasury,ORG,3,3
Treasury,ORG,3,2
Wang Yi,PERSON,3,1
State Department,ORG,3,3
Hampshire,GPE,3,1
Spain,GPE,3,1
non-US,NORP,3,2
Mazda,ORG,3,2
Joe,PERSON,3,1
Planet,ORG,3,1
United Arab Emirates (UAE,GPE,3,3
Thailand,GPE,3,1
Florida,GPE,3,3
Armin,PERSON,3,1
Nandito Badea,PERSON,3,2
Human Rights Activists News Agency,ORG,3,3
Epstein,PERSON,3,1
Ebrahim Rezaei,PERSON,3,3
MSC-Francesca,ORG,3,1
Gulf Arab,LOC,3,3
Mahsa Amini,PERSON,3,3
Ali,PERSON,3,1
Zanjan,PERSON,3,3
John Healey,PERSON,3,3
non-Iranian,NORP,3,3
Mohammad Ghalibaf,PERSON,3,3
Bessent,PERSON,3,1
Shia Muslim,NORP,3,3
Starmer,PERSON,3,2
Emirati,NORP,3,2
Mohammad,PERSON,3,1
Xi,PERSON,3,2
Politics Essential,ORG,3,3
Robertson,PERSON,3,1
Iris Dena,ORG,3,1
Emma Barnett,PERSON,3,3
John Simpson,PERSON,3,3
Norway,GPE,3,3
Australian,NORP,3,2
Mustafa,PERSON,3,1
Sea of Oman,LOC,3,3
Mahmoud,PERSON,3,1
Tel Aviv,GPE,3,2
Husayn ibn Ali,PERSON,2,1
Hamidreza Haji Bababei,PERSON,2,2
South East Asia,LOC,2,1
New York,GPE,2,2
SpaceX,ORG,2,1
Telegram,ORG,2,1
YouTube,GPE,2,2
Access Now,ORG,2,1
António Guterres,PERSON,2,2
Somerset,GPE,2,1
Jersey,GPE,2,1
Central Bank,LOC,2,2
Joseph Aoun,PERSON,2,2
Ohio,GPE,2,2
Jewish,NORP,2,2
BBC Jersey,GPE,2,1
